translation_z,tilt,aperture
position,position,position
70.0,10.0,0.0
80.0,-30.0,20.0
60.0,-30.0,5.0
90.0,-20.0,10.0
60.0,-10.0,10.0
80.0,0.0,0.0
70.0,0.0,15.0
80.0,-30.0,5.0
90.0,20.0,15.0
80.0,10.0,20.0
70.0,20.0,0.0
60.0,0.0,0.0
60.0,20.0,15.0
90.0,-20.0,15.0
90.0,-30.0,20.0
80.0,-20.0,5.0
80.0,-10.0,20.0
60.0,10.0,0.0
70.0,10.0,15.0
60.0,20.0,10.0
60.0,20.0,20.0
60.0,-10.0,20.0
80.0,-30.0,15.0
70.0,20.0,20.0
80.0,10.0,15.0
60.0,-10.0,0.0
60.0,0.0,20.0
70.0,-20.0,20.0
90.0,0.0,20.0
90.0,-10.0,5.0
70.0,20.0,10.0
80.0,0.0,5.0
90.0,10.0,10.0
90.0,10.0,0.0
90.0,-20.0,5.0
70.0,-10.0,10.0
70.0,20.0,5.0
80.0,-20.0,10.0
60.0,-20.0,5.0
90.0,-30.0,10.0
60.0,20.0,5.0
90.0,-30.0,15.0
80.0,20.0,0.0
70.0,-10.0,20.0
60.0,0.0,5.0
80.0,20.0,15.0
80.0,20.0,5.0
70.0,10.0,10.0
80.0,20.0,10.0
60.0,-30.0,0.0
80.0,-20.0,0.0
90.0,10.0,20.0
90.0,20.0,10.0
90.0,-10.0,15.0
70.0,0.0,10.0
70.0,-20.0,15.0
90.0,-10.0,20.0
80.0,-30.0,10.0
90.0,10.0,15.0
60.0,0.0,10.0
60.0,-20.0,10.0
90.0,-30.0,0.0
90.0,-10.0,10.0
70.0,-20.0,5.0
90.0,20.0,0.0
60.0,-30.0,10.0
80.0,10.0,5.0
80.0,-10.0,15.0
70.0,-10.0,15.0
90.0,20.0,5.0
70.0,-30.0,10.0
90.0,0.0,5.0
90.0,-10.0,0.0
60.0,10.0,10.0
60.0,-10.0,5.0
80.0,20.0,20.0
70.0,-30.0,0.0
80.0,0.0,20.0
70.0,-20.0,10.0
70.0,0.0,20.0
60.0,-30.0,15.0
80.0,0.0,10.0
90.0,10.0,5.0
60.0,-20.0,20.0
80.0,-10.0,0.0
60.0,-20.0,15.0
80.0,-10.0,10.0
80.0,-10.0,5.0
90.0,0.0,0.0
70.0,0.0,5.0
60.0,10.0,15.0
60.0,10.0,5.0
80.0,-20.0,20.0
80.0,-30.0,0.0
60.0,-30.0,20.0
60.0,20.0,0.0
60.0,-10.0,15.0
90.0,-20.0,20.0
90.0,-30.0,5.0
80.0,0.0,15.0
80.0,10.0,0.0
70.0,-20.0,0.0
90.0,-20.0,0.0
90.0,0.0,10.0
90.0,20.0,20.0
70.0,-10.0,0.0
90.0,0.0,15.0
70.0,20.0,15.0
70.0,-30.0,20.0
70.0,10.0,20.0
80.0,10.0,10.0
70.0,-30.0,15.0
80.0,-20.0,15.0
70.0,-10.0,5.0
60.0,0.0,15.0
70.0,0.0,0.0
60.0,-20.0,0.0
70.0,10.0,5.0
60.0,10.0,20.0
70.0,-30.0,5.0
