translation_z,tilt,aperture
position,position,position
90.0,0.0,6.0
60.0,0.0,0.0
60.0,30.0,0.0
60.0,0.0,12.0
60.0,0.0,6.0
90.0,30.0,0.0
60.0,-30.0,6.0
90.0,-30.0,6.0
90.0,0.0,6.0
60.0,30.0,6.0
90.0,30.0,6.0
60.0,-30.0,0.0
90.0,30.0,6.0
90.0,0.0,6.0
90.0,30.0,0.0
60.0,30.0,6.0
90.0,-30.0,12.0
60.0,0.0,6.0
60.0,30.0,6.0
90.0,-30.0,6.0
60.0,0.0,0.0
90.0,-30.0,0.0
60.0,0.0,0.0
90.0,-30.0,6.0
90.0,0.0,0.0
90.0,30.0,6.0
90.0,0.0,0.0
90.0,30.0,12.0
90.0,0.0,0.0
60.0,30.0,0.0
60.0,0.0,12.0
90.0,-30.0,0.0
60.0,30.0,0.0
90.0,0.0,0.0
90.0,30.0,12.0
90.0,-30.0,6.0
60.0,0.0,12.0
60.0,30.0,6.0
90.0,0.0,6.0
90.0,30.0,6.0
60.0,30.0,12.0
90.0,30.0,6.0
90.0,30.0,0.0
60.0,0.0,12.0
90.0,-30.0,6.0
60.0,30.0,0.0
90.0,-30.0,6.0
60.0,30.0,0.0
60.0,-30.0,0.0
90.0,-30.0,0.0
90.0,-30.0,12.0
60.0,30.0,6.0
90.0,0.0,6.0
60.0,0.0,0.0
90.0,30.0,6.0
60.0,30.0,12.0
60.0,0.0,12.0
90.0,-30.0,12.0
90.0,-30.0,6.0
90.0,30.0,6.0
90.0,0.0,12.0
90.0,30.0,12.0
90.0,-30.0,0.0
60.0,0.0,6.0
90.0,-30.0,0.0
60.0,30.0,6.0
60.0,30.0,12.0
90.0,0.0,0.0
90.0,0.0,6.0
90.0,0.0,0.0
90.0,30.0,6.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,12.0
60.0,30.0,12.0
60.0,0.0,6.0
60.0,-30.0,12.0
90.0,-30.0,12.0
60.0,-30.0,6.0
60.0,0.0,12.0
60.0,-30.0,6.0
90.0,0.0,6.0
60.0,0.0,6.0
60.0,0.0,6.0
60.0,0.0,6.0
60.0,30.0,0.0
60.0,-30.0,12.0
60.0,30.0,12.0
90.0,30.0,0.0
90.0,30.0,12.0
60.0,0.0,0.0
90.0,30.0,6.0
60.0,-30.0,0.0
90.0,30.0,0.0
90.0,0.0,0.0
60.0,30.0,12.0
60.0,30.0,6.0
90.0,-30.0,12.0
60.0,0.0,0.0
90.0,0.0,12.0
90.0,30.0,12.0
60.0,30.0,12.0
90.0,0.0,12.0
60.0,0.0,6.0
90.0,0.0,12.0
60.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,6.0
90.0,-30.0,6.0
90.0,-30.0,0.0
90.0,0.0,0.0
60.0,30.0,6.0
90.0,30.0,6.0
60.0,0.0,0.0
90.0,-30.0,6.0
60.0,0.0,12.0
90.0,-30.0,0.0
90.0,-30.0,6.0
60.0,-30.0,12.0
60.0,-30.0,0.0
90.0,-30.0,0.0
90.0,-30.0,12.0
60.0,30.0,12.0
60.0,-30.0,12.0
90.0,-30.0,0.0
90.0,0.0,6.0
60.0,0.0,0.0
90.0,30.0,12.0
60.0,0.0,12.0
90.0,30.0,0.0
60.0,30.0,12.0
60.0,-30.0,0.0
60.0,30.0,12.0
60.0,30.0,0.0
90.0,0.0,12.0
60.0,-30.0,6.0
90.0,0.0,12.0
60.0,-30.0,6.0
90.0,-30.0,12.0
60.0,-30.0,12.0
90.0,-30.0,6.0
60.0,-30.0,6.0
90.0,-30.0,12.0
90.0,30.0,12.0
90.0,-30.0,12.0
60.0,-30.0,6.0
60.0,-30.0,6.0
90.0,30.0,0.0
90.0,30.0,6.0
90.0,30.0,12.0
60.0,30.0,0.0
90.0,0.0,12.0
90.0,-30.0,12.0
90.0,30.0,0.0
90.0,0.0,0.0
90.0,-30.0,6.0
90.0,0.0,12.0
90.0,0.0,12.0
90.0,30.0,6.0
90.0,-30.0,0.0
90.0,0.0,12.0
90.0,30.0,0.0
60.0,-30.0,12.0
90.0,30.0,0.0
60.0,30.0,12.0
90.0,0.0,0.0
60.0,-30.0,6.0
60.0,-30.0,6.0
60.0,0.0,12.0
60.0,30.0,12.0
60.0,-30.0,12.0
90.0,0.0,6.0
90.0,30.0,0.0
90.0,0.0,0.0
90.0,30.0,0.0
60.0,-30.0,0.0
60.0,-30.0,12.0
60.0,-30.0,12.0
60.0,0.0,12.0
60.0,0.0,12.0
60.0,-30.0,0.0
60.0,-30.0,12.0
90.0,0.0,12.0
60.0,0.0,6.0
60.0,30.0,6.0
90.0,0.0,6.0
90.0,30.0,0.0
60.0,-30.0,12.0
90.0,-30.0,6.0
60.0,0.0,0.0
90.0,30.0,0.0
60.0,30.0,12.0
90.0,30.0,12.0
90.0,0.0,6.0
60.0,-30.0,12.0
90.0,30.0,6.0
60.0,30.0,6.0
60.0,0.0,0.0
90.0,0.0,6.0
60.0,0.0,12.0
60.0,-30.0,0.0
60.0,-30.0,6.0
60.0,30.0,6.0
90.0,-30.0,0.0
60.0,-30.0,6.0
90.0,-30.0,6.0
60.0,30.0,12.0
60.0,0.0,6.0
90.0,0.0,6.0
90.0,0.0,0.0
60.0,30.0,0.0
90.0,0.0,6.0
90.0,30.0,0.0
