translation_z,tilt,aperture
position,position,position
142.5,0.0,30.0
180.0,0.0,30.0
180.0,0.0,20.0
165.0,45.0,10.0
120.0,-45.0,0.0
135.0,0.0,0.0
135.0,-45.0,20.0
180.0,0.0,0.0
142.5,45.0,20.0
127.5,0.0,30.0
120.0,45.0,0.0
157.5,0.0,30.0
180.0,45.0,0.0
120.0,0.0,20.0
150.0,45.0,30.0
142.5,45.0,30.0
157.5,-45.0,0.0
135.0,0.0,30.0
150.0,-45.0,20.0
120.0,0.0,10.0
150.0,0.0,30.0
142.5,45.0,10.0
157.5,-45.0,30.0
127.5,0.0,20.0
165.0,0.0,10.0
165.0,0.0,30.0
127.5,45.0,30.0
180.0,-45.0,10.0
180.0,-45.0,30.0
157.5,45.0,30.0
180.0,0.0,10.0
180.0,-45.0,0.0
135.0,-45.0,30.0
150.0,0.0,10.0
150.0,0.0,20.0
172.5,45.0,20.0
142.5,-45.0,10.0
165.0,0.0,0.0
157.5,-45.0,20.0
120.0,-45.0,20.0
150.0,45.0,0.0
150.0,-45.0,0.0
127.5,0.0,0.0
157.5,0.0,0.0
142.5,0.0,10.0
157.5,-45.0,10.0
180.0,45.0,30.0
142.5,0.0,20.0
135.0,45.0,0.0
120.0,-45.0,10.0
172.5,0.0,30.0
142.5,-45.0,30.0
165.0,45.0,30.0
157.5,45.0,20.0
172.5,-45.0,10.0
127.5,-45.0,20.0
150.0,45.0,10.0
150.0,45.0,20.0
157.5,45.0,0.0
172.5,45.0,30.0
142.5,0.0,0.0
157.5,0.0,20.0
120.0,45.0,30.0
142.5,-45.0,20.0
172.5,45.0,0.0
150.0,-45.0,10.0
165.0,-45.0,10.0
157.5,45.0,10.0
165.0,-45.0,0.0
120.0,0.0,30.0
172.5,45.0,10.0
135.0,-45.0,0.0
127.5,45.0,0.0
150.0,0.0,0.0
135.0,0.0,10.0
135.0,-45.0,10.0
180.0,45.0,10.0
135.0,45.0,10.0
172.5,-45.0,30.0
165.0,-45.0,30.0
150.0,-45.0,30.0
120.0,0.0,0.0
165.0,-45.0,20.0
180.0,-45.0,20.0
120.0,45.0,10.0
180.0,45.0,20.0
172.5,0.0,10.0
165.0,45.0,20.0
165.0,0.0,20.0
172.5,-45.0,0.0
172.5,0.0,0.0
165.0,45.0,0.0
172.5,0.0,20.0
127.5,-45.0,0.0
142.5,45.0,0.0
172.5,-45.0,20.0
157.5,0.0,10.0
120.0,-45.0,30.0
135.0,45.0,20.0
127.5,0.0,10.0
142.5,-45.0,0.0
135.0,0.0,20.0
135.0,45.0,30.0
127.5,-45.0,30.0
127.5,45.0,10.0
127.5,-45.0,10.0
120.0,45.0,20.0
127.5,45.0,20.0
